VF GID,VF CID
VFG039005,VFC0086
VFG039009,VFC0086
VFG039014,VFC0086
VFG039018,VFC0086
VFG039025,VFC0086
VFG039032,VFC0086
VFG039039,VFC0086
VFG039046,VFC0086
VFG039053,VFC0086
VFG039059,VFC0086
VFG039063,VFC0086
VFG039070,VFC0086
VFG039077,VFC0083
VFG039084,VFC0083
VFG039088,VFC0083
VFG045355,VFC0258
VFG045357,VFC0258
VFG045360,VFC0258
VFG045361,VFC0258
VFG045362,VFC0258
VFG045365,VFC0258
VFG045368,VFC0258
VFG045369,VFC0258
VFG045370,VFC0258
VFG045372,VFC0258
VFG045373,VFC0258
VFG045374,VFC0258
VFG045375,VFC0258
VFG045376,VFC0258
VFG045377,VFC0258
VFG045378,VFC0258
VFG045379,VFC0258
VFG045381,VFC0258
VFG045383,VFC0258
VFG045384,VFC0258
VFG045385,VFC0258
VFG045386,VFC0258
VFG045387,VFC0258
VFG045388,VFC0258
VFG045390,VFC0258
VFG045391,VFC0258
VFG045393,VFC0258
VFG045395,VFC0258
VFG045396,VFC0258
VFG045400,VFC0258
VFG045402,VFC0258
VFG045403,VFC0258
VFG045407,VFC0258
VFG045408,VFC0258
VFG045409,VFC0258
VFG045411,VFC0258
VFG045413,VFC0258
VFG045414,VFC0258
VFG045418,VFC0258
VFG045424,VFC0258
VFG045425,VFC0258
VFG045426,VFC0258
VFG045428,VFC0258
VFG045431,VFC0258
VFG045432,VFC0258
VFG045437,VFC0258
VFG045438,VFC0258
VFG045439,VFC0258
VFG045440,VFC0258
VFG045441,VFC0258
VFG045452,VFC0258
VFG045453,VFC0258
VFG045454,VFC0258
VFG045462,VFC0258
VFG045463,VFC0258
VFG045469,VFC0258
VFG000676,VFC0235
VFG000677,VFC0235
VFG000678,VFC0235
VFG000679,VFC0258
VFG000680,VFC0258
VFG000681,VFC0258
VFG000682,VFC0258
VFG002040,VFC0301
VFG016216,VFC0235
VFG016223,VFC0235
VFG016254,VFC0235
VFG016260,VFC0235
VFG016263,VFC0235
VFG016270,VFC0235
VFG016278,VFC0235
VFG016286,VFC0235
VFG016338,VFC0251
VFG016346,VFC0251
VFG016356,VFC0272
VFG016362,VFC0272
VFG040864,VFC0086
VFG040865,VFC0086
VFG040867,VFC0086
VFG040868,VFC0086
VFG049919,VFC0001
VFG049956,VFC0272
VFG049962,VFC0272
VFG049968,VFC0272
VFG049974,VFC0272
VFG049980,VFC0272
VFG049986,VFC0272
VFG049994,VFC0272
VFG050005,VFC0272
VFG050016,VFC0272
VFG050027,VFC0272
VFG050038,VFC0272
VFG050111,VFC0235
VFG050112,VFC0235
VFG050113,VFC0235
VFG050114,VFC0235
VFG050115,VFC0235
VFG050116,VFC0235
VFG050117,VFC0235
VFG050118,VFC0235
VFG002231,VFC0086
VFG002232,VFC0086
VFG002233,VFC0086
VFG002234,VFC0086
VFG002235,VFC0086
VFG002236,VFC0086
VFG002237,VFC0086
VFG002238,VFC0086
VFG002239,VFC0086
VFG002240,VFC0086
VFG002241,VFC0086
VFG002242,VFC0086
VFG002243,VFC0086
VFG002244,VFC0086
VFG002245,VFC0086
VFG002246,VFC0086
VFG002247,VFC0086
VFG002248,VFC0086
VFG002249,VFC0086
VFG002250,VFC0086
VFG002251,VFC0086
VFG002252,VFC0086
VFG002253,VFC0086
VFG002254,VFC0086
VFG002255,VFC0086
VFG002256,VFC0086
VFG002257,VFC0086
VFG002258,VFC0086
VFG002259,VFC0086
VFG002260,VFC0086
VFG002261,VFC0086
VFG002262,VFC0086
VFG002263,VFC0086
VFG002264,VFC0086
VFG002265,VFC0086
VFG002266,VFC0086
VFG002267,VFC0086
VFG002268,VFC0086
VFG002269,VFC0086
VFG002270,VFC0001
VFG016757,VFC0204
VFG016758,VFC0204
VFG016759,VFC0204
VFG016760,VFC0204
VFG016761,VFC0204
VFG016762,VFC0204
VFG016763,VFC0204
VFG016764,VFC0204
VFG016765,VFC0204
VFG016766,VFC0204
VFG016767,VFC0204
VFG016768,VFC0204
VFG016769,VFC0204
VFG016770,VFC0204
VFG016771,VFC0204
VFG016772,VFC0204
VFG016773,VFC0204
VFG016774,VFC0204
VFG016775,VFC0204
VFG016776,VFC0204
VFG016777,VFC0204
VFG016778,VFC0204
VFG016779,VFC0204
VFG016780,VFC0204
VFG016781,VFC0204
VFG016782,VFC0204
VFG016783,VFC0204
VFG016784,VFC0204
VFG016802,VFC0086
VFG018683,VFC0086
VFG041370,VFC0086
VFG052292,VFC0258
VFG052296,VFC0258
VFG052300,VFC0258
VFG052304,VFC0258
VFG052308,VFC0258
VFG052312,VFC0258
VFG052316,VFC0258
VFG052320,VFC0258
VFG052324,VFC0258
VFG052328,VFC0258
VFG052332,VFC0258
VFG052336,VFC0258
VFG000001,VFC0001
VFG000002,VFC0001
VFG000003,VFC0001
VFG000004,VFC0001
VFG000005,VFC0001
VFG000007,VFC0001
VFG000008,VFC0001
VFG000009,VFC0001
VFG000010,VFC0001
VFG000011,VFC0235
VFG000012,VFC0235
VFG000013,VFC0235
VFG000014,VFC0235
VFG000015,VFC0235
VFG000025,VFC0235
VFG000026,VFC0235
VFG000027,VFC0258
VFG000028,VFC0258
VFG000029,VFC0258
VFG000030,VFC0258
VFG000031,VFC0258
VFG000032,VFC0258
VFG000033,VFC0258
VFG000034,VFC0258
VFG000035,VFC0258
VFG000036,VFC0258
VFG000037,VFC0258
VFG000038,VFC0258
VFG000039,VFC0086
VFG000040,VFC0086
VFG000041,VFC0086
VFG000042,VFC0086
VFG000043,VFC0086
VFG000044,VFC0086
VFG000045,VFC0086
VFG000046,VFC0086
VFG000047,VFC0086
VFG000048,VFC0086
VFG000049,VFC0086
VFG000050,VFC0086
VFG000051,VFC0086
VFG000052,VFC0086
VFG000053,VFC0086
VFG000054,VFC0086
VFG000055,VFC0086
VFG000056,VFC0086
VFG000057,VFC0086
VFG000058,VFC0086
VFG000059,VFC0086
VFG000060,VFC0086
VFG000061,VFC0086
VFG000062,VFC0086
VFG000063,VFC0086
VFG000064,VFC0086
VFG000065,VFC0086
VFG000066,VFC0086
VFG000067,VFC0086
VFG000158,VFC0235
VFG001269,VFC0235
VFG001270,VFC0235
VFG001271,VFC0235
VFG001272,VFC0001
VFG002044,VFC0301
VFG002045,VFC0301
VFG011072,VFC0086
VFG011087,VFC0086
VFG042069,VFC0086
VFG042070,VFC0086
VFG042071,VFC0086
VFG042072,VFC0086
VFG042075,VFC0086
VFG046121,VFC0001
VFG002208,VFC0086
VFG002209,VFC0086
VFG002210,VFC0086
VFG002211,VFC0086
VFG002212,VFC0086
VFG002213,VFC0086
VFG002214,VFC0086
VFG002215,VFC0086
VFG002216,VFC0086
VFG002217,VFC0086
VFG002218,VFC0086
VFG002219,VFC0258
VFG002220,VFC0258
VFG002221,VFC0258
VFG002222,VFC0258
VFG002223,VFC0258
VFG002224,VFC0258
VFG002225,VFC0258
VFG002226,VFC0258
VFG002227,VFC0258
VFG002228,VFC0258
VFG002229,VFC0258
VFG002230,VFC0258
VFG011389,VFC0258
VFG011394,VFC0258
VFG011399,VFC0258
VFG011404,VFC0258
VFG011409,VFC0258
VFG011414,VFC0258
VFG011419,VFC0258
VFG011424,VFC0258
VFG011429,VFC0258
VFG011430,VFC0258
VFG011439,VFC0258
VFG011444,VFC0258
VFG011453,VFC0258
VFG011505,VFC0258
VFG011510,VFC0258
VFG011515,VFC0258
VFG011519,VFC0258
VFG011524,VFC0258
VFG011528,VFC0258
VFG011533,VFC0258
VFG011535,VFC0258
VFG011626,VFC0301
VFG011631,VFC0301
VFG041369,VFC0086
VFG041431,VFC0086
VFG041432,VFC0086
VFG045340,VFC0086
VFG045465,VFC0258
VFG045466,VFC0258
VFG051113,VFC0001
VFG051120,VFC0001
VFG051123,VFC0001
VFG051125,VFC0001
VFG051131,VFC0001
VFG051134,VFC0001
VFG051142,VFC0001
VFG051149,VFC0086
VFG051158,VFC0086
VFG051167,VFC0086
VFG051176,VFC0086
VFG051185,VFC0086
VFG051202,VFC0086
VFG051235,VFC0086
VFG051244,VFC0086
VFG051253,VFC0086
VFG051262,VFC0086
VFG051271,VFC0086
VFG002424,VFC0204
VFG002425,VFC0001
VFG002426,VFC0001
VFG002427,VFC0001
VFG002428,VFC0001
VFG002429,VFC0001
VFG002430,VFC0001
VFG002431,VFC0001
VFG002432,VFC0001
VFG002433,VFC0001
VFG002434,VFC0001
VFG002435,VFC0001
VFG002436,VFC0001
VFG002437,VFC0001
VFG002438,VFC0086
VFG002439,VFC0086
VFG002440,VFC0086
VFG002441,VFC0086
VFG002442,VFC0086
VFG002443,VFC0086
VFG002444,VFC0086
VFG002445,VFC0086
VFG002446,VFC0086
VFG002447,VFC0086
VFG002448,VFC0086
VFG002449,VFC0086
VFG002450,VFC0086
VFG002451,VFC0086
VFG002452,VFC0086
VFG002453,VFC0086
VFG002454,VFC0086
VFG002455,VFC0086
VFG002456,VFC0086
VFG002457,VFC0086
VFG002458,VFC0086
VFG002459,VFC0086
VFG002460,VFC0086
VFG002461,VFC0086
VFG002462,VFC0086
VFG002463,VFC0086
VFG002464,VFC0086
VFG002465,VFC0086
VFG002466,VFC0086
VFG002467,VFC0086
VFG002468,VFC0086
VFG002469,VFC0086
VFG002470,VFC0086
VFG002471,VFC0086
VFG002472,VFC0086
VFG002473,VFC0086
VFG002474,VFC0086
VFG002475,VFC0086
VFG002476,VFC0086
VFG002477,VFC0086
VFG002478,VFC0086
VFG002479,VFC0086
VFG002480,VFC0086
VFG002481,VFC0086
VFG002482,VFC0086
VFG002483,VFC0086
VFG002484,VFC0086
VFG002485,VFC0086
VFG002486,VFC0086
VFG002487,VFC0086
VFG002488,VFC0086
VFG002489,VFC0086
VFG002490,VFC0204
VFG002491,VFC0204
VFG002492,VFC0204
VFG002493,VFC0204
VFG002494,VFC0204
VFG002495,VFC0204
VFG002496,VFC0204
VFG002497,VFC0204
VFG002498,VFC0204
VFG002499,VFC0204
VFG002500,VFC0204
VFG002501,VFC0204
VFG002502,VFC0204
VFG002503,VFC0204
VFG002504,VFC0204
VFG002505,VFC0204
VFG002506,VFC0204
VFG002507,VFC0204
VFG002508,VFC0204
VFG002509,VFC0204
VFG002510,VFC0204
VFG002511,VFC0204
VFG002512,VFC0204
VFG002513,VFC0204
VFG002514,VFC0204
VFG002515,VFC0204
VFG002516,VFC0204
VFG002517,VFC0204
VFG002518,VFC0204
VFG002519,VFC0204
VFG002520,VFC0204
VFG002521,VFC0204
VFG002522,VFC0204
VFG002523,VFC0204
VFG002524,VFC0204
VFG002525,VFC0204
VFG002526,VFC0204
VFG002527,VFC0204
VFG002528,VFC0204
VFG002529,VFC0204
VFG002530,VFC0204
VFG002531,VFC0204
VFG002532,VFC0204
VFG002533,VFC0204
VFG002534,VFC0204
VFG002535,VFC0204
VFG002536,VFC0204
VFG002537,VFC0271
VFG002538,VFC0271
VFG002539,VFC0271
VFG002540,VFC0271
VFG002541,VFC0271
VFG002542,VFC0271
VFG002543,VFC0271
VFG002544,VFC0271
VFG002545,VFC0258
VFG002546,VFC0258
VFG002547,VFC0258
VFG002548,VFC0258
VFG002549,VFC0258
VFG002550,VFC0258
VFG002551,VFC0258
VFG002552,VFC0258
VFG002553,VFC0258
VFG002554,VFC0258
VFG002555,VFC0258
VFG002556,VFC0258
VFG002557,VFC0258
VFG002558,VFC0258
VFG002559,VFC0258
VFG002560,VFC0258
VFG002561,VFC0258
VFG002562,VFC0258
VFG002563,VFC0258
VFG002564,VFC0258
VFG002565,VFC0258
VFG002566,VFC0258
VFG002567,VFC0258
VFG002568,VFC0258
VFG002569,VFC0258
VFG041118,VFC0086
VFG041119,VFC0086
VFG041120,VFC0086
VFG041780,VFC0086
VFG042964,VFC0001
VFG042965,VFC0001
VFG042966,VFC0001
VFG045467,VFC0301
VFG001890,VFC0204
VFG001891,VFC0204
VFG001892,VFC0204
VFG001893,VFC0204
VFG001894,VFC0204
VFG001895,VFC0204
VFG001896,VFC0204
VFG001897,VFC0204
VFG001898,VFC0204
VFG001899,VFC0204
VFG001900,VFC0204
VFG001901,VFC0204
VFG001902,VFC0204
VFG001903,VFC0204
VFG001904,VFC0204
VFG001905,VFC0204
VFG001906,VFC0204
VFG001907,VFC0204
VFG001908,VFC0204
VFG001909,VFC0204
VFG001910,VFC0204
VFG001911,VFC0204
VFG001912,VFC0204
VFG001913,VFC0204
VFG001914,VFC0204
VFG001915,VFC0204
VFG001916,VFC0204
VFG001917,VFC0204
VFG001918,VFC0204
VFG001919,VFC0204
VFG001920,VFC0204
VFG001921,VFC0204
VFG001922,VFC0204
VFG001923,VFC0204
VFG001924,VFC0204
VFG001925,VFC0204
VFG001926,VFC0204
VFG001927,VFC0204
VFG001928,VFC0204
VFG001929,VFC0204
VFG001930,VFC0204
VFG001931,VFC0001
VFG001932,VFC0235
VFG001933,VFC0235
VFG001934,VFC0235
VFG001935,VFC0083
VFG001936,VFC0258
VFG001937,VFC0258
VFG001938,VFC0258
VFG001939,VFC0258
VFG001940,VFC0258
VFG001941,VFC0258
VFG001942,VFC0258
VFG001943,VFC0258
VFG001944,VFC0258
VFG001945,VFC0258
VFG001947,VFC0258
VFG001948,VFC0258
VFG001949,VFC0258
VFG001950,VFC0258
VFG001951,VFC0258
VFG001952,VFC0258
VFG001953,VFC0258
VFG001954,VFC0258
VFG001955,VFC0258
VFG001956,VFC0258
VFG001957,VFC0258
VFG001958,VFC0258
VFG001959,VFC0258
VFG001960,VFC0258
VFG001961,VFC0258
VFG001962,VFC0258
VFG001963,VFC0258
VFG001964,VFC0258
VFG001965,VFC0258
VFG001966,VFC0258
VFG001967,VFC0258
VFG001968,VFC0258
VFG001969,VFC0258
VFG001970,VFC0258
VFG001971,VFC0258
VFG001972,VFC0258
VFG001973,VFC0258
VFG001974,VFC0258
VFG001975,VFC0258
VFG001976,VFC0086
VFG001977,VFC0086
VFG001978,VFC0086
VFG001980,VFC0086
VFG001983,VFC0001
VFG001984,VFC0001
VFG001985,VFC0001
VFG001986,VFC0258
VFG001987,VFC0258
VFG001988,VFC0258
VFG001989,VFC0258
VFG002024,VFC0258
VFG002025,VFC0258
VFG002026,VFC0258
VFG002027,VFC0258
VFG002028,VFC0258
VFG011668,VFC0258
VFG011671,VFC0258
VFG011674,VFC0258
VFG011677,VFC0258
VFG011757,VFC0086
VFG011823,VFC0258
VFG011826,VFC0204
VFG011850,VFC0204
VFG011938,VFC0204
VFG011946,VFC0204
VFG012002,VFC0204
VFG012006,VFC0204
VFG012009,VFC0204
VFG012019,VFC0204
VFG012022,VFC0204
VFG012033,VFC0204
VFG012036,VFC0204
VFG043392,VFC0204
VFG043393,VFC0204
VFG043394,VFC0204
VFG043395,VFC0204
VFG043396,VFC0204
VFG043397,VFC0204
VFG043398,VFC0204
VFG043399,VFC0204
VFG043400,VFC0204
VFG043401,VFC0204
VFG043402,VFC0204
VFG043403,VFC0204
VFG043404,VFC0204
VFG043405,VFC0204
VFG043472,VFC0001
VFG045341,VFC0083
VFG002124,VFC0086
VFG002125,VFC0086
VFG002126,VFC0086
VFG002127,VFC0086
VFG002128,VFC0086
VFG002129,VFC0086
VFG002130,VFC0086
VFG002131,VFC0086
VFG002132,VFC0086
VFG002133,VFC0086
VFG002134,VFC0086
VFG002135,VFC0086
VFG002136,VFC0086
VFG002137,VFC0086
VFG002138,VFC0086
VFG002139,VFC0086
VFG002140,VFC0086
VFG002141,VFC0086
VFG002142,VFC0086
VFG002143,VFC0086
VFG002144,VFC0086
VFG002145,VFC0086
VFG002146,VFC0086
VFG002147,VFC0086
VFG002148,VFC0086
VFG002149,VFC0086
VFG002150,VFC0086
VFG002151,VFC0086
VFG002152,VFC0086
VFG002153,VFC0086
VFG002154,VFC0086
VFG016998,VFC0086
VFG017038,VFC0086
VFG017049,VFC0086
VFG017059,VFC0086
VFG042183,VFC0086
VFG042184,VFC0086
VFG042185,VFC0086
VFG042186,VFC0086
VFG042187,VFC0086
VFG042196,VFC0086
VFG042197,VFC0086
VFG042200,VFC0086
VFG042201,VFC0086
VFG042202,VFC0086
VFG042203,VFC0086
VFG043572,VFC0001
VFG043574,VFC0001
VFG044455,VFC0086
VFG044456,VFC0086
VFG044457,VFC0086
VFG044458,VFC0086
VFG044459,VFC0086
VFG049554,VFC0086
VFG049610,VFC0086
VFG049619,VFC0086
VFG049624,VFC0086
VFG049637,VFC0086
VFG049649,VFC0086
VFG049661,VFC0086
VFG049666,VFC0086
VFG049684,VFC0251
VFG050220,VFC0086
VFG050221,VFC0086
VFG050222,VFC0086
VFG050223,VFC0086
VFG050224,VFC0086
VFG050225,VFC0086
VFG050226,VFC0086
VFG050227,VFC0086
VFG050228,VFC0086
VFG050229,VFC0086
VFG050230,VFC0086
VFG050231,VFC0086
VFG050232,VFC0086
VFG050233,VFC0086
VFG050234,VFC0086
VFG050235,VFC0086
VFG050236,VFC0086
VFG050237,VFC0086
VFG050238,VFC0086
VFG050239,VFC0086
VFG050240,VFC0086
VFG050241,VFC0086
VFG050242,VFC0086
VFG050243,VFC0086
VFG050244,VFC0086
VFG050245,VFC0086
VFG050246,VFC0086
VFG050247,VFC0086
VFG050248,VFC0086
VFG050249,VFC0086
VFG050250,VFC0086
VFG050251,VFC0086
VFG050252,VFC0086
VFG050253,VFC0086
VFG050254,VFC0086
VFG050255,VFC0086
VFG050256,VFC0086
VFG050257,VFC0086
VFG050258,VFC0086
VFG050259,VFC0086
VFG050260,VFC0086
VFG050261,VFC0086
VFG050262,VFC0086
VFG050263,VFC0086
VFG050264,VFC0086
VFG050265,VFC0086
VFG050266,VFC0086
VFG050267,VFC0086
VFG050268,VFC0086
VFG050269,VFC0086
VFG050270,VFC0086
VFG050271,VFC0086
VFG050272,VFC0086
VFG051291,VFC0001
VFG051303,VFC0001
VFG051314,VFC0001
VFG051319,VFC0001
VFG051330,VFC0001
VFG051360,VFC0001
VFG051368,VFC0001
VFG051435,VFC0001
VFG051447,VFC0001
VFG051474,VFC0083
VFG002274,VFC0235
VFG002275,VFC0235
VFG002276,VFC0251
VFG002277,VFC0251
VFG002278,VFC0251
VFG002279,VFC0251
VFG002280,VFC0251
VFG002281,VFC0251
VFG002282,VFC0251
VFG002285,VFC0251
VFG002286,VFC0235
VFG002287,VFC0235
VFG002288,VFC0235
VFG002289,VFC0235
VFG002290,VFC0235
VFG002291,VFC0235
VFG002292,VFC0235
VFG002293,VFC0235
VFG002296,VFC0235
VFG002300,VFC0235
VFG012088,VFC0001
VFG012089,VFC0001
VFG012095,VFC0001
VFG012104,VFC0001
VFG012114,VFC0235
VFG012122,VFC0235
